"","Sample","Sequ_count_in","Sequ_count_out","pct_pass"
"78","CR_84_1_S91_R2_cut.fastq","170566",NA,NA
"79","CR_84_2_S26_R1_cut.fastq","122832",NA,NA
"80","CR_84_2_S26_R2_cut.fastq","122832",NA,NA
"81","CR_94_1_S27_R1_cut.fastq","95297",NA,NA
"82","CR_94_1_S27_R2_cut.fastq","95297",NA,NA
"83","CR_94_2_S28_R1_cut.fastq","157317",NA,NA
"84","CR_94_2_S28_R2_cut.fastq","157317",NA,NA
"85","CR_97_1_S29_R1_cut.fastq",NA,NA,NA
"86","CR_97_1_S29_R2_cut.fastq",NA,NA,NA
"87","CR_97_2_S30_R1_cut.fastq","112707",NA,NA
"88","CR_97_2_S30_R2_cut.fastq","112707",NA,NA
"89","DIA_1_S79_R1_cut.fastq","111859",NA,NA
"90","DIA_1_S79_R2_cut.fastq","111859",NA,NA
"91","DIA_2_S88_R1_cut.fastq","88994",NA,NA
"92","DIA_2_S88_R2_cut.fastq","88994",NA,NA
"93","FCW_1_S3_R1_cut.fastq","114891",NA,NA
"94","FCW_1_S3_R2_cut.fastq","114891",NA,NA
"95","FCW_2_S4_R1_cut.fastq","100697",NA,NA
"96","FCW_2_S4_R2_cut.fastq","100697",NA,NA
"97","HAV_1_S71_R1_cut.fastq","80291",NA,NA
"98","HAV_1_S71_R2_cut.fastq","80291",NA,NA
"99","HAV_2_S72_R1_cut.fastq","163039",NA,NA
"100","HAV_2_S72_R2_cut.fastq","163039","1","0"
"101","HER_1_S93_R1_cut.fastq","163538",NA,NA
"102","HER_1_S93_R2_cut.fastq","163538",NA,NA
"103","HER_2_S62_R1_cut.fastq","114377",NA,NA
"104","HER_2_S62_R2_cut.fastq","114377",NA,NA
"105","KAN_1_S67_R1_cut.fastq","116006",NA,NA
"106","KAN_1_S67_R2_cut.fastq","116006",NA,NA
"107","KAN_2_S68_R1_cut.fastq","128352",NA,NA
"108","KAN_2_S68_R2_cut.fastq","128352",NA,NA
"109","LCR_1_S57_R1_cut.fastq","125563",NA,NA
"110","LCR_1_S57_R2_cut.fastq","125563",NA,NA
"111","LCR_2_S58_R1_cut.fastq","90978",NA,NA
"112","LCR_2_S58_R2_cut.fastq","90978",NA,NA
"113","LF_1_S73_R1_cut.fastq","135608",NA,NA
"114","LF_1_S73_R2_cut.fastq","135608",NA,NA
"115","LF_2_S74_R1_cut.fastq","168893",NA,NA
"116","LF_2_S74_R2_cut.fastq","168893",NA,NA
"117","MAT_1_S69_R1_cut.fastq","91913",NA,NA
"118","MAT_1_S69_R2_cut.fastq","91913",NA,NA
"119","MAT_2_S70_R1_cut.fastq","88999",NA,NA
"120","MAT_2_S70_R2_cut.fastq","88999",NA,NA
"121","NANK_1_S55_R1_cut.fastq","74675",NA,NA
"122","NANK_1_S55_R2_cut.fastq","74675",NA,NA
"123","NANK_2_S56_R1_cut.fastq","90794",NA,NA
"124","NANK_2_S56_R2_cut.fastq","90794",NA,NA
"125","neg_Control_S89_R1_cut.fastq","193900",NA,NA
"126","neg_Control_S89_R2_cut.fastq","193900",NA,NA
"127","pos_Control_S87_R1_cut.fastq","75155",NA,NA
"128","pos_Control_S87_R2_cut.fastq","75155",NA,NA
"129","RM_20_1_S19_R1_cut.fastq","86559",NA,NA
"130","RM_20_1_S19_R2_cut.fastq","86559",NA,NA
"131","RM_20_2_S20_R1_cut.fastq","73885",NA,NA
"132","RM_20_2_S20_R2_cut.fastq","73885",NA,NA
"133","RM_88_1_S21_R1_cut.fastq","64729",NA,NA
"134","RM_88_1_S21_R2_cut.fastq","64729",NA,NA
"135","RM_88_2_S22_R1_cut.fastq","100135",NA,NA
"136","RM_88_2_S22_R2_cut.fastq","100135",NA,NA
"137","SC_1_S13_R1_cut.fastq","121077",NA,NA
"138","SC_1_S13_R2_cut.fastq","121077",NA,NA
"139","SC_2_S14_R1_cut.fastq","111343",NA,NA
"140","SC_2_S14_R2_cut.fastq","111343",NA,NA
"141","SCGC_1_S75_R1_cut.fastq","88680",NA,NA
"142","SCGC_1_S75_R2_cut.fastq","88680",NA,NA
"143","SCGC_2_S76_R1_cut.fastq","101577",NA,NA
"144","SCGC_2_S76_R2_cut.fastq","101577",NA,NA
"145","SHI_1_S63_R1_cut.fastq","107975",NA,NA
"146","SHI_1_S63_R2_cut.fastq","107975",NA,NA
"147","SHI_2_S64_R1_cut.fastq","111348",NA,NA
"148","SHI_2_S64_R2_cut.fastq","111348",NA,NA
"149","SPE_1_S84_R1_cut.fastq","92927",NA,NA
"150","SPE_1_S84_R2_cut.fastq","92927",NA,NA
"151","SPE_2_S85_R1_cut.fastq","121772",NA,NA
"152","SPE_2_S85_R2_cut.fastq","121772",NA,NA
"153","TAP_1_S65_R1_cut.fastq","77296",NA,NA
"154","TAP_1_S65_R2_cut.fastq","77296",NA,NA
"155","TAP_2_S66_R1_cut.fastq","79767",NA,NA
"156","TAP_2_S66_R2_cut.fastq","79767",NA,NA
"157","TCDW_1_S7_R1_cut.fastq","97122",NA,NA
"158","TCDW_1_S7_R2_cut.fastq","97122",NA,NA
"159","TCDW_2_S8_R1_cut.fastq","119542",NA,NA
"160","TCDW_2_S8_R2_cut.fastq","119542",NA,NA
"161","TRA_1_S82_R1_cut.fastq","108678",NA,NA
"162","TRA_1_S82_R2_cut.fastq","108678",NA,NA
"163","TRA_2_S83_R1_cut.fastq","120038",NA,NA
"164","TRA_2_S83_R2_cut.fastq","120038",NA,NA
"165","TS_1_S77_R1_cut.fastq","157087",NA,NA
"166","TS_1_S77_R2_cut.fastq","157087",NA,NA
"167","TS_2_S78_R1_cut.fastq","108142",NA,NA
"168","TS_2_S78_R2_cut.fastq","108142",NA,NA
"169","Undetermined_S0_R1_cut.fastq","779703",NA,NA
"170","Undetermined_S0_R2_cut.fastq","779703","0","0"
"171","VRBF_1_S9_R1_cut.fastq","100008",NA,NA
"172","VRBF_1_S9_R2_cut.fastq","100008",NA,NA
"173","VRBF_2_S10_R1_cut.fastq","90824",NA,NA
"174","VRBF_2_S10_R2_cut.fastq","90824",NA,NA
"175","VRSB_1_S5_R1_cut.fastq","121100",NA,NA
"176","VRSB_1_S5_R2_cut.fastq","121100",NA,NA
"177","VRSB_2_S6_R1_cut.fastq","97878",NA,NA
"178","VRSB_2_S6_R2_cut.fastq","97878",NA,NA
"179","WBC_1_S17_R1_cut.fastq","120410",NA,NA
"180","WBC_1_S17_R2_cut.fastq","120410",NA,NA
"181","WBC_2_S18_R1_cut.fastq","90167",NA,NA
"182","WBC_2_S18_R2_cut.fastq","90167",NA,NA
"183","WCC_1_S1_R1_cut.fastq","128700",NA,NA
"184","WCC_1_S1_R2_cut.fastq","128700",NA,NA
"185","WCC_2_S2_R1_cut.fastq","132103",NA,NA
"186","WCC_2_S2_R2_cut.fastq","132103",NA,NA
"187","WFOC_1_S15_R1_cut.fastq","125140",NA,NA
"188","WFOC_1_S15_R2_cut.fastq","125140",NA,NA
"189","WFOC_2_S16_R1_cut.fastq","117605",NA,NA
"190","WFOC_2_S16_R2_cut.fastq","117605",NA,NA
