ID,Phylum,Class,Order,Family,Genus,Species,Similarity,Status
>OTU_54,Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Alona,setulosa,100,Published
>OTU_55,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,98.52,Private
>OTU_56,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,,100,Published
>OTU_57,Arthropoda,Insecta,Diptera,Chironomidae,,,93.33,Early-Release
>OTU_58,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,96.3,Private
>OTU_59,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,,99.26,Published
>OTU_60,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,,100,Published
>OTU_61,Arthropoda,Insecta,Ephemeroptera,,,,87.41,Published
>OTU_62,Arthropoda,Ostracoda,Podocopida,Cyprididae,,,91.85,Published
>OTU_63,Arthropoda,Insecta,Diptera,Chironomidae,Parakiefferiella,,99.26,Published
>OTU_64,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,,97.78,Published
>OTU_65,Arthropoda,Insecta,Diptera,Chironomidae,,,94.81,Private
>OTU_66,Arthropoda,Insecta,Diptera,Chironomidae,,,96.3,Published
>OTU_67,Arthropoda,Hexanauplia,Calanoida,Diaptomidae,Leptodiaptomus,,95.56,Published
>OTU_68,Arthropoda,Insecta,Diptera,Chironomidae,,,96.3,Private
>OTU_69,Arthropoda,Insecta,Diptera,Chironomidae,,,90.37,Published
>OTU_70,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,,97.78,Published
>OTU_71,Arthropoda,Hexanauplia,Harpacticoida,Ameiridae,Nitokra,hibernica,100,Published
>OTU_72,Arthropoda,Insecta,Diptera,Chironomidae,,,98.52,Published
>OTU_73,Rhodophyta,Florideophyceae,,,,,81.63,Early-Release
>OTU_74,Annelida,Clitellata,Enchytraeida,Enchytraeidae,,,93.33,Private
>OTU_75,Arthropoda,Insecta,Diptera,Limoniidae,Antocha,,99.26,Published
>OTU_76,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,virgatum s.l.,100,Published
>OTU_77,Arthropoda,Insecta,Diptera,Chironomidae,,,96.3,Private
>OTU_78,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Private
>OTU_79,Arthropoda,Insecta,Diptera,Muscidae,,,97.04,Published
>OTU_80,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,100,Published
>OTU_81,Arthropoda,Hexanauplia,Harpacticoida,,,,85.19,Published
>OTU_82,Arthropoda,Ostracoda,Podocopida,Cyprididae,Cypridopsis,,95.56,Private
>OTU_83,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,94.07,Published
>OTU_84,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Published
>OTU_85,Rhodophyta,Florideophyceae,,,,,82.54,Early-Release
>OTU_86,Arthropoda,Insecta,,,,,75.97,Published
>OTU_87,Arthropoda,Insecta,Diptera,Chironomidae,,,99.26,Published
>OTU_88,Arthropoda,Insecta,Ephemeroptera,Baetidae,Fallceon,sp.,100,Published
>OTU_89,Arthropoda,Insecta,Diptera,Stratiomyidae,,,100,Published
>OTU_90,Arthropoda,Insecta,Diptera,Culicidae,,,94.07,Private
>OTU_91,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,,100,Published
>OTU_92,Arthropoda,Insecta,Diptera,Chironomidae,,,93.33,Private
>OTU_93,Arthropoda,Collembola,,,,,79.82,Published
>OTU_94,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,hunteri,98.52,Private
>OTU_95,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,,90.37,Private
>OTU_96,Arthropoda,Insecta,Diptera,Chironomidae,Pentaneura,,100,Published
>OTU_97,Arthropoda,Insecta,Megaloptera,Corydalidae,Corydalus,luteus,100,Published
>OTU_98,Arthropoda,Insecta,Diptera,Chironomidae,,,91.85,Early-Release
>OTU_99,Arthropoda,Insecta,Diptera,Chironomidae,,,97.01,Published
>OTU_100,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,91.85,Published
>OTU_101,Arthropoda,Ostracoda,Podocopida,Podocopida_incertae_sedis,,,92.59,Published
>OTU_102,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,96.3,Published
>OTU_103,Arthropoda,Insecta,Diptera,Chironomidae,,,99.26,Published
>OTU_104,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,bracteatum,100,Private
>OTU_105,Arthropoda,Insecta,Diptera,Tipulidae,,,100,Published
>OTU_106,Arthropoda,Ostracoda,Podocopida,Cyprididae,Cypridopsis,vidua,100,Published
>OTU_107,Arthropoda,Insecta,Diptera,Chironomidae,,,99.26,Private
>OTU_108,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Private
>OTU_109,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,97.78,Private
>OTU_110,Arthropoda,Insecta,Diptera,Chironomidae,,,97.04,Private
>OTU_111,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,,100,Published
>OTU_112,Arthropoda,Insecta,Diptera,Chironomidae,,,97.78,Published
>OTU_113,Arthropoda,Insecta,Diptera,Chironomidae,,,94.07,Private
>OTU_114,Arthropoda,Insecta,Diptera,Chironomidae,,,91.11,Early-Release
>OTU_115,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,,100,Early-Release
>OTU_116,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Published
>OTU_117,Arthropoda,Ostracoda,Podocopida,,,,89.63,Published
>OTU_118,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,95.56,Published
>OTU_119,Arthropoda,Insecta,Diptera,Ephydridae,Hydrellia,griseola,100,Published
>OTU_120,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Published
>OTU_121,Arthropoda,Insecta,Diptera,Empididae,Hemerodromia,,100,Published
>OTU_122,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella,xena,100,Published
>OTU_123,Arthropoda,Insecta,Diptera,Chironomidae,,,96.3,Private
>OTU_124,Arthropoda,Ostracoda,Podocopida,Ilyocyprididae,Ilyocypris,bradyi,100,Published
>OTU_125,Arthropoda,Insecta,Diptera,Chironomidae,,,97.04,Private
>OTU_126,Arthropoda,Insecta,Diptera,Chironomidae,,,90.37,Published
>OTU_127,Arthropoda,Insecta,Diptera,Culicidae,,,91.85,Published
>OTU_128,Arthropoda,Insecta,Diptera,Pediciidae,,,91.11,Early-Release
>OTU_129,Arthropoda,Insecta,Diptera,Chironomidae,,,96.3,Private
>OTU_130,Mollusca,Gastropoda,,Physidae,,,93.33,Published
>OTU_131,Arthropoda,Insecta,Diptera,,,,100,Published
>OTU_132,Arthropoda,Insecta,Diptera,Chironomidae,,,92.54,Private
>OTU_133,Arthropoda,Arachnida,Trombidiformes,,,,89.15,Published
>OTU_134,Arthropoda,Insecta,Plecoptera,Capniidae,Mesocapnia,frisoni,100,Private
>OTU_135,Arthropoda,Insecta,Diptera,Chironomidae,Rheotanytarsus,,96.3,Published
>OTU_136,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,,100,Early-Release
>OTU_137,Arthropoda,Insecta,Diptera,Chironomidae,,,94.81,Published
>OTU_138,Arthropoda,Insecta,Diptera,Chironomidae,,,96.3,Private
>OTU_139,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,92.59,Published
>OTU_140,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,97.04,Published
>OTU_141,Arthropoda,Insecta,Diptera,Chironomidae,,,95.56,Published
>OTU_142,Annelida,Clitellata,Haplotaxida,,,,89.74,Private
>OTU_143,Arthropoda,Insecta,Diptera,Dolichopodidae,,,93.33,Private
>OTU_144,Arthropoda,Insecta,Diptera,Empididae,,,94.81,Early-Release
>OTU_145,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,,,98.37,Published
>OTU_146,Arthropoda,Insecta,Diptera,Dolichopodidae,,,97.04,Published
>OTU_147,Arthropoda,Insecta,Diptera,Chironomidae,,,97.78,Private
>OTU_148,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,93.33,Published
>OTU_149,Arthropoda,Insecta,Neuroptera,Chrysopidae,Chrysoperla,rufilabris,100,Published
>OTU_150,Heterokontophyta,Oomycota,,,,,83.74,Published
>OTU_151,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,,100,Published
>OTU_152,Arthropoda,Hexanauplia,Harpacticoida,,,,86.67,Private
>OTU_153,Arthropoda,Insecta,,,,,78.79,Published
>OTU_154,Arthropoda,Insecta,Diptera,Empididae,Wiedemannia,simplex,99.26,Published
>OTU_155,Arthropoda,Insecta,Diptera,Chironomidae,,,97.73,Published
>OTU_156,Arthropoda,Insecta,Coleoptera,Scirtidae,,,95.56,Private
>OTU_157,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,polita,100,Published
>OTU_158,Arthropoda,Insecta,Diptera,Limoniidae,,,100,Published
>OTU_159,Arthropoda,,,,,,99.26,Private
>OTU_160,Mollusca,Gastropoda,,Physidae,Physella,acuta,100,Published
>OTU_161,Arthropoda,Insecta,Diptera,Chironomidae,,,94.81,Private
>OTU_162,Arthropoda,Insecta,Diptera,Chironomidae,Parametriocnemus,,100,Published
>OTU_163,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,,95.56,Published
>OTU_164,Arthropoda,Collembola,,,,,80.95,Published
>OTU_165,Arthropoda,Insecta,Diptera,Chironomidae,,,94.07,Private
>OTU_166,Arthropoda,Insecta,Diptera,Chironomidae,,,99.26,Private
>OTU_167,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Published
>OTU_168,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,98.51,Private
>OTU_169,Arthropoda,Insecta,Coleoptera,,,,89.39,Published
>OTU_170,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,sp.,98.52,Private
>OTU_171,Arthropoda,Insecta,Coleoptera,Dytiscidae,Ilybiosoma,bjorkmanae,99.26,Early-Release
>OTU_172,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,,100,Published
>OTU_173,Arthropoda,Insecta,Coleoptera,Haliplidae,Peltodytes,,100,Published
>OTU_174,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,,98.52,Early-Release
>OTU_175,Rhodophyta,Florideophyceae,,,,,79.07,Published
>OTU_176,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Private
>OTU_177,Arthropoda,Insecta,Diptera,Psychodidae,,,92.59,Published
>OTU_178,Arthropoda,Insecta,Diptera,,,,88.15,Published
>OTU_179,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,pedellus grp.,100,Published
>OTU_180,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,piperi,100,Published
>OTU_181,Arthropoda,Insecta,Diptera,Chironomidae,,,92.59,Private
>OTU_182,Arthropoda,Insecta,Diptera,Chironomidae,,,97.78,Published
>OTU_183,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Private
>OTU_184,Arthropoda,Insecta,Diptera,Stratiomyidae,,,99.26,Published
>OTU_185,Arthropoda,Insecta,Diptera,,,,96.3,Private
>OTU_186,Arthropoda,Insecta,Diptera,Chironomidae,,,94.81,Early-Release
>OTU_187,Arthropoda,Insecta,Diptera,Chironomidae,,,97.78,Private
>OTU_188,Arthropoda,Insecta,Diptera,Psychodidae,,,90.37,Private
>OTU_189,Arthropoda,Ostracoda,Podocopida,Cyprididae,,,91.85,Published
>OTU_190,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,100,Private
>OTU_191,Arthropoda,Insecta,Diptera,Chironomidae,Parakiefferiella,,100,Published
>OTU_192,Ochrophyta,Phaeophyceae,Ectocarpales,,,,86.57,Published
>OTU_193,Arthropoda,Insecta,Diptera,Culicidae,,,92.59,Published
>OTU_194,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,,100,Published
>OTU_195,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Private
>OTU_196,Arthropoda,Insecta,Diptera,Chironomidae,,,96.21,Private
>OTU_197,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,92.06,Published
>OTU_198,Arthropoda,Insecta,Diptera,Chironomidae,,,97.04,Published
>OTU_199,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match
>OTU_200,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,,97.04,Published
>OTU_201,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,97.78,Published
>OTU_202,Arthropoda,Insecta,Diptera,Chironomidae,,,93.33,Published
>OTU_203,Annelida,Clitellata,Haplotaxida,,,,89.15,Published
>OTU_204,Arthropoda,Insecta,Diptera,Chironomidae,,,91.85,Published
>OTU_205,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Plagiodera,arizonae,100,Early-Release
>OTU_206,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,100,Published
>OTU_207,Arthropoda,Insecta,Coleoptera,Elmidae,,,91.85,Published
>OTU_208,Arthropoda,Insecta,Lepidoptera,Crambidae,,,98.52,Published
>OTU_209,Arthropoda,Insecta,Coleoptera,,,,87.88,Private
>OTU_210,Arthropoda,Insecta,Diptera,Chironomidae,,,94.07,Published
>OTU_211,Arthropoda,Insecta,Diptera,Dolichopodidae,,,93.33,Published
>OTU_212,Arthropoda,Insecta,Diptera,Chironomidae,,,93.33,Published
>OTU_213,Arthropoda,Insecta,Diptera,Chironomidae,,,96.3,Published
>OTU_214,Arthropoda,Insecta,Diptera,Chironomidae,,,94.07,Published
>OTU_215,Arthropoda,Insecta,Diptera,Chironomidae,,,94.07,Private
>OTU_216,Arthropoda,Insecta,,,,,76.03,Published
>OTU_217,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,,97.04,Early-Release
>OTU_218,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,,96.3,Published
>OTU_219,Arthropoda,Insecta,Archaeognatha,,,,85.19,Private
>OTU_220,Arthropoda,Ostracoda,Podocopida,Podocopida_incertae_sedis,PodocopidGEN,,96.99,Published
>OTU_221,Arthropoda,Insecta,Diptera,Chironomidae,,,99.26,Published
>OTU_222,Arthropoda,Insecta,Diptera,Tephritidae,Neaspilota,viridescens,100,Private
>OTU_223,Arthropoda,Insecta,Diptera,Ephydridae,,,94.07,Early-Release
>OTU_224,Arthropoda,Insecta,Diptera,Chironomidae,,,97.04,Private
>OTU_225,Arthropoda,Insecta,Diptera,Chironomidae,,,94.07,Published
>OTU_226,Arthropoda,Insecta,Coleoptera,Dytiscidae,Cybister,,96.97,Published
>OTU_227,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,,100,Published
>OTU_228,Rhodophyta,Florideophyceae,,,,,81.33,Early-Release
>OTU_229,Arthropoda,Insecta,Diptera,Chironomidae,,,98.52,Private
>OTU_230,Arthropoda,Insecta,Diptera,Chironomidae,,,90.37,Published
>OTU_231,Arthropoda,Insecta,Diptera,Anthomyiidae,Delia,platura,100,Published
>OTU_232,Arthropoda,Insecta,Diptera,Tephritidae,Trupanea,radifera,100,Private
>OTU_233,Arthropoda,Insecta,Diptera,Chironomidae,Rheotanytarsus,,96.3,Published
>OTU_234,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,,100,Published
>OTU_235,Mollusca,Gastropoda,,Physidae,Physella,acuta,100,Published
>OTU_236,Cnidaria,Anthozoa,,,,,80,Private
>OTU_237,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Ceriodaphnia,cf. laticaudata,99.26,Published
>OTU_238,Arthropoda,Insecta,Diptera,Chironomidae,,,93.33,Private
>OTU_239,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,97.78,Private
>OTU_240,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius,psilopterus,99.26,Published
>OTU_241,Arthropoda,Insecta,,,,,76.3,Private
>OTU_242,Arthropoda,Insecta,Diptera,Empididae,Neoplasta,,97.04,Early-Release
>OTU_243,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,claripennis,99.26,Published
>OTU_244,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,,99.26,Published
>OTU_245,Arthropoda,Insecta,Coleoptera,,,,88.64,Published
>OTU_246,Arthropoda,Ostracoda,Podocopida,Cyprididae,Sarscypridopsis,aculeata,100,Published
>OTU_247,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,,98.52,Published
>OTU_248,Arthropoda,Ostracoda,Podocopida,Cyprididae,,,91.06,Private
>OTU_249,Annelida,Clitellata,Haplotaxida,Naididae,,,100,Published
>OTU_250,Arthropoda,Insecta,Diptera,Chironomidae,,,92.59,Published
>OTU_251,Arthropoda,Insecta,Diptera,Chironomidae,,,93.33,Private
>OTU_252,Arthropoda,Insecta,Diptera,Chironomidae,,,93.33,Private
>OTU_253,Arthropoda,Insecta,,,,,76.52,Early-Release
>OTU_254,Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Alona,affinis,100,Published
>OTU_255,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,94.07,Private
>OTU_256,Arthropoda,Insecta,Diptera,Dolichopodidae,,,90.37,Published
>OTU_257,Arthropoda,Insecta,Diptera,Tabanidae,,,100,Published
>OTU_258,Arthropoda,Insecta,Diptera,Dixidae,,,97.78,Published
>OTU_259,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,pluviale,100,Published
>OTU_260,Arthropoda,Insecta,Diptera,Chironomidae,,,97.04,Published
>OTU_261,Arthropoda,Insecta,Diptera,Chironomidae,,,91.85,Published
>OTU_262,Arthropoda,Insecta,Diptera,,,,100,Private
>OTU_263,Arthropoda,Insecta,Diptera,Chironomidae,,,94.81,Published
>OTU_264,Arthropoda,Insecta,Diptera,Stratiomyidae,,,100,Private
>OTU_265,Arthropoda,Insecta,Diptera,Tachinidae,Pseudochaeta,,96.3,Published
>OTU_266,Arthropoda,Insecta,Hemiptera,Naucoridae,,,100,Published
>OTU_267,Cnidaria,Hydrozoa,,,,,80.74,Published
>OTU_268,Arthropoda,Insecta,Coleoptera,,,,88.89,Published
>OTU_269,Arthropoda,Insecta,Diptera,Tipulidae,,,100,Published
>OTU_270,Arthropoda,Insecta,Diptera,Chironomidae,,,95.56,Private
>OTU_271,Arthropoda,Insecta,Coleoptera,Meloidae,,,100,Published
>OTU_272,Arthropoda,Insecta,Coleoptera,Silphidae,,,90.15,Published
>OTU_273,Arthropoda,Insecta,Coleoptera,Cerambycidae,,,90.15,Published
>OTU_274,Arthropoda,Insecta,Diptera,Chironomidae,,,91.74,Published
>OTU_275,Cnidaria,Hydrozoa,,,,,81.48,Published
>OTU_276,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,,95.56,Published
>OTU_277,Arthropoda,Ostracoda,Podocopida,Cyprididae,,,94.07,Published
>OTU_278,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,97.01,Published
>OTU_279,Heterokontophyta,Oomycota,,,,,83.33,Published
>OTU_280,Rhodophyta,Florideophyceae,,,,,79.37,Early-Release
>OTU_281,Arthropoda,Insecta,Diptera,Chironomidae,,,94.07,Published
>OTU_282,Arthropoda,Insecta,Hemiptera,Naucoridae,,,100,Published
>OTU_283,Arthropoda,Insecta,Diptera,Chironomidae,,,94.81,Published
>OTU_284,Arthropoda,Insecta,Diptera,Anthomyiidae,,,92.59,Published
>OTU_285,Arthropoda,Insecta,Diptera,Chloropidae,,,100,Published
>OTU_286,Arthropoda,Insecta,Diptera,Chironomidae,,,96.3,Private
>OTU_287,Cnidaria,Anthozoa,,,,,77.24,Published
>OTU_288,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Private
>OTU_289,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,,90.15,Published
>OTU_290,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,96.3,Published
>OTU_291,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,,97.78,Published
>OTU_292,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,whitseli,100,Published
>OTU_293,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,sp. 1,99.26,Published
>OTU_294,Arthropoda,Insecta,Diptera,Chironomidae,,,99.26,Published
>OTU_295,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,,100,Published
>OTU_296,Arthropoda,Insecta,Diptera,Psychodidae,,,94.81,Published
>OTU_297,Arthropoda,Insecta,Diptera,Chironomidae,Cardiocladius,,95.56,Published
>OTU_298,Arthropoda,Insecta,Coleoptera,Carabidae,,,90.37,Published
>OTU_299,Rhodophyta,Florideophyceae,,,,,82.35,Private
>OTU_300,Arthropoda,Insecta,Diptera,Chironomidae,,,92.59,Private
>OTU_301,Arthropoda,Insecta,Coleoptera,Rhadalidae,,,90.37,Published
>OTU_302,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,,100,Published
>OTU_303,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,,92.42,Early-Release
>OTU_304,Arthropoda,Insecta,Diptera,Chironomidae,,,93.33,Private
>OTU_305,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Tropisternus,,100,Published
>OTU_306,Arthropoda,Insecta,Coleoptera,,,,89.39,Published
>OTU_307,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,pulicaria,100,Published
>OTU_308,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,notos,100,Published
>OTU_309,Arthropoda,Ostracoda,Podocopida,Podocopida_incertae_sedis,PodocopidGEN,,97.04,Published
>OTU_310,Arthropoda,Insecta,Coleoptera,,,,89.63,Published
>OTU_311,Arthropoda,Insecta,Diptera,Chironomidae,Pentaneura,,99.24,Early-Release
>OTU_312,Mollusca,Gastropoda,,Physidae,Physella,,96.3,Published
>OTU_313,Arthropoda,Insecta,Coleoptera,Carabidae,,,90.91,Published
>OTU_314,Arthropoda,Insecta,Lepidoptera,Erebidae,Heteranassa,mima,100,Published
>OTU_315,Arthropoda,Ostracoda,Podocopida,Podocopida_incertae_sedis,PodocopidGEN,BIOUG024,98.33,Published
>OTU_316,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,,100,Published
>OTU_317,Arthropoda,Insecta,Diptera,Tipulidae,,,100,Published
>OTU_318,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match
>OTU_319,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Disonycha,,100,Published
>OTU_320,Arthropoda,Insecta,,,,,78.79,Private
>OTU_321,Arthropoda,Insecta,Lepidoptera,Ypsolophidae,Ypsolopha,barberella,100,Published
>OTU_322,Arthropoda,Hexanauplia,Cyclopoida,,,,89.47,Private
>OTU_323,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,carlatus,100,Published
>OTU_324,Arthropoda,Insecta,Diptera,Chironomidae,,,95.56,Published
>OTU_325,Arthropoda,Diplopoda,,,,,78.52,Published
>OTU_326,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,aleutica,98.52,Early-Release
>OTU_327,Arthropoda,Insecta,Diptera,,,,89.63,Private
>OTU_328,Arthropoda,Insecta,Diptera,Chironomidae,,,94.81,Early-Release
>OTU_329,Heterokontophyta,Oomycota,,,,,78.05,Published
