##########
2021-12-23 14:31:47
PROCESSING MODULE:
A_Cutadapt

Module Version: v0.2


Using Version: Cutadapt v3.5
Starting to remove adapters (primers) on both ends in 190 files:
A_Cutadapt/_data/CR_52_2_S24_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_52_2_S24_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_61_1_S90_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_61_1_S90_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_61_2_S25_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_61_2_S25_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_84_1_S91_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_84_1_S91_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_84_2_S26_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_84_2_S26_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_94_1_S27_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_94_1_S27_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_94_2_S28_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_94_2_S28_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_97_1_S29_R1_cut.fastq - NA% reads passed (NA% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_97_1_S29_R2_cut.fastq - NA% reads passed (NA% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_97_2_S30_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_97_2_S30_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/DIA_1_S79_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/DIA_1_S79_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/DIA_2_S88_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/DIA_2_S88_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/FCW_1_S3_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/FCW_1_S3_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/FCW_2_S4_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/FCW_2_S4_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/HAV_1_S71_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/HAV_1_S71_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/HAV_2_S72_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/HAV_2_S72_R2_cut.fastq - 0% reads passed (0% forward + 0% reverse orientation)
A_Cutadapt/_data/HER_1_S93_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/HER_1_S93_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/HER_2_S62_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/HER_2_S62_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/KAN_1_S67_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/KAN_1_S67_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/KAN_2_S68_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/KAN_2_S68_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/LCR_1_S57_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/LCR_1_S57_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/LCR_2_S58_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/LCR_2_S58_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/LF_1_S73_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/LF_1_S73_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/LF_2_S74_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/LF_2_S74_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/MAT_1_S69_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/MAT_1_S69_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/MAT_2_S70_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/MAT_2_S70_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/NANK_1_S55_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/NANK_1_S55_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/NANK_2_S56_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/NANK_2_S56_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/neg_Control_S89_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/neg_Control_S89_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/pos_Control_S87_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/pos_Control_S87_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/RM_20_1_S19_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/RM_20_1_S19_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/RM_20_2_S20_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/RM_20_2_S20_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/RM_88_1_S21_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/RM_88_1_S21_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/RM_88_2_S22_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/RM_88_2_S22_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SC_1_S13_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SC_1_S13_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SC_2_S14_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SC_2_S14_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SCGC_1_S75_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SCGC_1_S75_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SCGC_2_S76_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SCGC_2_S76_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SHI_1_S63_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SHI_1_S63_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SHI_2_S64_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SHI_2_S64_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SPE_1_S84_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SPE_1_S84_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SPE_2_S85_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/SPE_2_S85_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TAP_1_S65_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TAP_1_S65_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TAP_2_S66_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TAP_2_S66_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TCDW_1_S7_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TCDW_1_S7_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TCDW_2_S8_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TCDW_2_S8_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TRA_1_S82_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TRA_1_S82_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TRA_2_S83_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TRA_2_S83_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TS_1_S77_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TS_1_S77_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TS_2_S78_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/TS_2_S78_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/Undetermined_S0_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/Undetermined_S0_R2_cut.fastq - 0% reads passed (0% forward + 0% reverse orientation)
A_Cutadapt/_data/VRBF_1_S9_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/VRBF_1_S9_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/VRBF_2_S10_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/VRBF_2_S10_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/VRSB_1_S5_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/VRSB_1_S5_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/VRSB_2_S6_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/VRSB_2_S6_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/WBC_1_S17_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/WBC_1_S17_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/WBC_2_S18_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/WBC_2_S18_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/WCC_1_S1_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/WCC_1_S1_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/WCC_2_S2_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/WCC_2_S2_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/WFOC_1_S15_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/WFOC_1_S15_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/WFOC_2_S16_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/WFOC_2_S16_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)

Primers were successfully removed from NA% on average (SD = NA%).

2021-12-23 14:37:37


*** Module completed!


##########
2021-12-23 14:54:24
PROCESSING MODULE:
B_Cutadapt

Module Version: v0.2


Using Version: Cutadapt v3.5
Starting to remove adapters (primers) on forward direction only 95 files:
B_Cutadapt/_data/BA_1_S92_R1_cut.fastq - 74.19% reads passed
B_Cutadapt/_data/BA_2_S61_R1_cut.fastq - 75.18% reads passed
B_Cutadapt/_data/BOU_1_S94_R1_cut.fastq - 70.75% reads passed
B_Cutadapt/_data/BOU_2_S80_R1_cut.fastq - 73.75% reads passed
B_Cutadapt/_data/CHILDS_1_S11_R1_cut.fastq - 75.26% reads passed
B_Cutadapt/_data/CHILDS_2_S12_R1_cut.fastq - 75.01% reads passed
B_Cutadapt/_data/CLR_1_S59_R1_cut.fastq - 69.9% reads passed
B_Cutadapt/_data/CLR_2_S60_R1_cut.fastq - 64.23% reads passed
B_Cutadapt/_data/COL_1_S86_R1_cut.fastq - 73.14% reads passed
B_Cutadapt/_data/COL_2_S81_R1_cut.fastq - 58.67% reads passed
B_Cutadapt/_data/CR_109_1_S31_R1_cut.fastq - 75.35% reads passed
B_Cutadapt/_data/CR_109_2_S32_R1_cut.fastq - 74.5% reads passed
B_Cutadapt/_data/CR_134_1_S33_R1_cut.fastq - 75.36% reads passed
B_Cutadapt/_data/CR_134_2_S34_R1_cut.fastq - 70.89% reads passed
B_Cutadapt/_data/CR_143_1_S35_R1_cut.fastq - 75.19% reads passed
B_Cutadapt/_data/CR_143_2_S36_R1_cut.fastq - 73.76% reads passed
B_Cutadapt/_data/CR_148_1_S37_R1_cut.fastq - 74.74% reads passed
B_Cutadapt/_data/CR_148_2_S38_R1_cut.fastq - 74.83% reads passed
B_Cutadapt/_data/CR_157_1_S39_R1_cut.fastq - 74.51% reads passed
B_Cutadapt/_data/CR_157_2_S40_R1_cut.fastq - 73.31% reads passed
B_Cutadapt/_data/CR_180_1_S41_R1_cut.fastq - 70.62% reads passed
B_Cutadapt/_data/CR_180_2_S42_R1_cut.fastq - 71.02% reads passed
B_Cutadapt/_data/CR_204_1_S43_R1_cut.fastq - 73.75% reads passed
B_Cutadapt/_data/CR_204_2_S44_R1_cut.fastq - 71.39% reads passed
B_Cutadapt/_data/CR_216_1_S45_R1_cut.fastq - NA% reads passed
B_Cutadapt/_data/CR_216_2_S46_R1_cut.fastq - 73.81% reads passed
B_Cutadapt/_data/CR_226_1_S47_R1_cut.fastq - 72.32% reads passed
B_Cutadapt/_data/CR_226_2_S48_R1_cut.fastq - 73.76% reads passed
B_Cutadapt/_data/CR_229_1_S49_R1_cut.fastq - 73.21% reads passed
B_Cutadapt/_data/CR_229_2_S50_R1_cut.fastq - 68.22% reads passed
B_Cutadapt/_data/CR_246_1_S51_R1_cut.fastq - 70.99% reads passed
B_Cutadapt/_data/CR_246_2_S52_R1_cut.fastq - 66.44% reads passed
B_Cutadapt/_data/CR_275_1_S53_R1_cut.fastq - 74.4% reads passed
B_Cutadapt/_data/CR_275_2_S54_R1_cut.fastq - 74.31% reads passed
B_Cutadapt/_data/CR_52_1_S23_R1_cut.fastq - 75.22% reads passed
B_Cutadapt/_data/CR_52_2_S24_R1_cut.fastq - 75.03% reads passed
B_Cutadapt/_data/CR_61_1_S90_R1_cut.fastq - 74.44% reads passed
B_Cutadapt/_data/CR_61_2_S25_R1_cut.fastq - 74.84% reads passed
B_Cutadapt/_data/CR_84_1_S91_R1_cut.fastq - 73.42% reads passed
B_Cutadapt/_data/CR_84_2_S26_R1_cut.fastq - 63.83% reads passed
B_Cutadapt/_data/CR_94_1_S27_R1_cut.fastq - 75% reads passed
B_Cutadapt/_data/CR_94_2_S28_R1_cut.fastq - 74.72% reads passed
B_Cutadapt/_data/CR_97_1_S29_R1_cut.fastq - NA% reads passed
B_Cutadapt/_data/CR_97_2_S30_R1_cut.fastq - 74.21% reads passed
B_Cutadapt/_data/DIA_1_S79_R1_cut.fastq - 74.89% reads passed
B_Cutadapt/_data/DIA_2_S88_R1_cut.fastq - 75.26% reads passed
B_Cutadapt/_data/FCW_1_S3_R1_cut.fastq - 75.55% reads passed
B_Cutadapt/_data/FCW_2_S4_R1_cut.fastq - 75.37% reads passed
B_Cutadapt/_data/HAV_1_S71_R1_cut.fastq - 74.58% reads passed
B_Cutadapt/_data/HAV_2_S72_R1_cut.fastq - 73.73% reads passed
B_Cutadapt/_data/HER_1_S93_R1_cut.fastq - 71.32% reads passed
B_Cutadapt/_data/HER_2_S62_R1_cut.fastq - 74.77% reads passed
B_Cutadapt/_data/KAN_1_S67_R1_cut.fastq - 73.96% reads passed
B_Cutadapt/_data/KAN_2_S68_R1_cut.fastq - 73.82% reads passed
B_Cutadapt/_data/LCR_1_S57_R1_cut.fastq - 75.11% reads passed
B_Cutadapt/_data/LCR_2_S58_R1_cut.fastq - 75.6% reads passed
B_Cutadapt/_data/LF_1_S73_R1_cut.fastq - 61.47% reads passed
B_Cutadapt/_data/LF_2_S74_R1_cut.fastq - 65.64% reads passed
B_Cutadapt/_data/MAT_1_S69_R1_cut.fastq - 74.9% reads passed
B_Cutadapt/_data/MAT_2_S70_R1_cut.fastq - 75.11% reads passed
B_Cutadapt/_data/NANK_1_S55_R1_cut.fastq - 74.98% reads passed
B_Cutadapt/_data/NANK_2_S56_R1_cut.fastq - 75.1% reads passed
B_Cutadapt/_data/neg_Control_S89_R1_cut.fastq - 13.46% reads passed
B_Cutadapt/_data/pos_Control_S87_R1_cut.fastq - 74.51% reads passed
B_Cutadapt/_data/RM_20_1_S19_R1_cut.fastq - 75.29% reads passed
B_Cutadapt/_data/RM_20_2_S20_R1_cut.fastq - 74.82% reads passed
B_Cutadapt/_data/RM_88_1_S21_R1_cut.fastq - 74.94% reads passed
B_Cutadapt/_data/RM_88_2_S22_R1_cut.fastq - 74.96% reads passed
B_Cutadapt/_data/SC_1_S13_R1_cut.fastq - 74.72% reads passed
B_Cutadapt/_data/SC_2_S14_R1_cut.fastq - 75.2% reads passed
B_Cutadapt/_data/SCGC_1_S75_R1_cut.fastq - 74.97% reads passed
B_Cutadapt/_data/SCGC_2_S76_R1_cut.fastq - 74.82% reads passed
B_Cutadapt/_data/SHI_1_S63_R1_cut.fastq - 75.51% reads passed
B_Cutadapt/_data/SHI_2_S64_R1_cut.fastq - 74.92% reads passed
B_Cutadapt/_data/SPE_1_S84_R1_cut.fastq - 74.72% reads passed
